province,region,country,date,day.maxtemp_c,day.maxwind_kph,day.totalprecip_mm,day.avghumidity,day.uv,day.daily_will_it_rain
Bình Dương,Đông Nam Bộ,Vietnam,2024-12-26,30.1,18.4,1.0,77,7.0,1
Bình Phước,Đông Nam Bộ,Vietnam,2024-12-26,30.2,17.6,0.2,83,7.0,1
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,29.3,22.3,0.1,84,6.0,1
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-26,29.5,14.6,4.2,81,6.0,1
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-26,27.8,22.3,9.5,86,6.0,1
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,20.5,5.8,0.0,63,5.0,0
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,21.7,12.6,13.4,93,5.0,1
Đắk Lắk,Tây Nguyên,Vietnam,2024-12-26,27.7,15.1,0.8,79,6.0,1
Đắk Nông,Tây Nguyên,Vietnam,2024-12-26,27.7,15.1,0.8,79,6.0,1
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,25.0,5.0,0.0,69,7.0,0
Đồng Nai,Đông Nam Bộ,Vietnam,2024-12-26,30.1,18.4,1.0,77,7.0,1
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-26,28.4,16.7,6.0,83,6.0,1
Gia Lai,Tây Nguyên,Vietnam,2024-12-26,25.9,20.7,0.5,83,6.0,1
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,15.6,15.5,0.1,84,4.0,1
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-12-26,22.1,10.1,0.0,66,5.0,0
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-12-26,24.1,8.3,0.0,64,5.0,0
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,19.2,17.1,3.3,88,4.0,1
Hải Dương,Đồng Bằng Sông Hồng,Vietnam,2024-12-26,22.9,10.8,0.0,59,5.0,0
Hải Phòng,Đồng Bằng Sông Hồng,Vietnam,2024-12-26,23.7,9.4,0.0,59,5.0,0
Hậu Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-26,27.8,22.3,9.5,86,6.0,1
TP. Hồ Chí Minh,Đông Nam Bộ,Vietnam,2024-12-26,30.1,18.4,1.0,77,7.0,1
Hòa Bình,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,21.7,4.7,0.0,77,5.0,0
Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,2024-12-26,22.1,10.1,0.0,66,5.0,0
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,27.1,16.2,21.9,87,6.0,1
Kiên Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-26,27.7,20.4,4.5,78,6.0,1
Kon Tum,Tây Nguyên,Vietnam,2024-12-26,25.9,20.7,0.5,83,6.0,1
Lai Châu,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,19.0,3.6,0.0,74,5.0,0
Lâm Đồng,Tây Nguyên,Vietnam,2024-12-26,23.6,17.4,1.5,88,5.0,1
Lạng Sơn,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,21.3,13.3,0.0,56,5.0,0
Lào Cai,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,20.3,5.8,0.0,73,6.0,0
Long An,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-26,29.2,22.0,1.6,83,6.0,1
Nam Định,Đồng Bằng Sông Hồng,Vietnam,2024-12-26,22.1,10.1,0.0,66,5.0,0
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,19.0,11.5,0.9,85,4.0,1
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-12-26,22.1,10.1,0.0,66,5.0,0
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,26.0,24.4,23.4,87,6.0,1
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-12-26,22.7,7.6,0.0,68,5.0,0
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,25.2,21.9,9.9,90,6.0,1
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,19.8,22.7,7.7,89,4.0,1
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,21.7,12.6,13.4,93,5.0,1
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,22.0,11.2,36.7,94,5.0,1
Quảng Ninh,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,20.5,14.4,0.0,67,5.0,0
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,21.4,11.9,10.6,97,5.0,1
Sóc Trăng,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-26,27.4,16.6,9.3,86,6.0,1
Sơn La,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,25.0,5.0,0.0,69,7.0,0
Tây Ninh,Đông Nam Bộ,Vietnam,2024-12-26,30.4,15.8,2.7,72,7.0,1
Thái Bình,Đồng Bằng Sông Hồng,Vietnam,2024-12-26,21.7,12.6,0.0,66,5.0,0
Thái Nguyên,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,25.1,6.5,0.0,60,6.0,0
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,20.7,11.5,0.0,75,5.0,0
Thừa Thiên - Huế,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-26,21.4,11.9,10.6,97,5.0,1
Tiền Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-26,29.4,18.7,5.1,86,6.0,1
Trà Vinh,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-26,28.8,22.3,12.3,87,6.0,1
Tuyên Quang,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,22.7,7.6,0.0,68,5.0,0
Vĩnh Long,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-26,28.9,20.9,7.2,86,6.0,1
Vĩnh Phúc,Đồng Bằng Sông Hồng,Vietnam,2024-12-26,22.7,7.6,0.0,68,5.0,0
Yên Bái,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-26,22.7,7.6,0.0,68,5.0,0
An Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,32.3,11.1,17.2,73,7.0,1
Bà Rịa-Vũng Tàu,Đông Nam Bộ,Vietnam,2024-12-27,27.6,24.1,1.4,84,6.0,1
Bắc Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,20.2,19.1,0.8,46,5.0,1
Bắc Kạn,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,19.7,9.2,0.1,53,4.0,1
Bạc Liêu,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,29.8,22.7,0.4,81,6.0,1
Bắc Ninh,Đồng Bằng Sông Hồng,Vietnam,2024-12-27,20.2,19.1,0.8,46,5.0,1
Bến Tre,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,32.9,10.1,4.8,80,7.0,1
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,24.6,22.8,40.01,97,5.0,1
Bình Dương,Đông Nam Bộ,Vietnam,2024-12-27,32.2,7.7,17.3,73,7.0,1
Bình Phước,Đông Nam Bộ,Vietnam,2024-12-27,31.0,9.6,31.8,83,7.0,1
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,28.9,14.8,12.0,87,6.0,1
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,31.1,23.8,1.9,78,7.0,1
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,30.3,10.1,6.9,84,7.0,1
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,20.3,9.7,0.0,55,5.0,0
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,21.9,17.3,38.84,95,5.0,1
Đắk Lắk,Tây Nguyên,Vietnam,2024-12-27,25.7,18.5,2.0,91,6.0,1
Đắk Nông,Tây Nguyên,Vietnam,2024-12-27,25.7,18.5,2.0,91,6.0,1
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,23.4,6.1,0.0,77,5.0,0
Đồng Nai,Đông Nam Bộ,Vietnam,2024-12-27,32.2,7.7,17.3,73,7.0,1
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,30.7,10.4,11.2,81,7.0,1
Gia Lai,Tây Nguyên,Vietnam,2024-12-27,24.8,21.1,0.0,85,5.0,0
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,13.0,8.6,0.5,90,3.0,1
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-12-27,20.5,12.2,1.3,67,5.0,1
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-12-27,20.7,14.0,0.4,51,5.0,1
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,19.2,18.5,7.9,92,4.0,1
Hải Dương,Đồng Bằng Sông Hồng,Vietnam,2024-12-27,20.3,10.8,1.6,63,5.0,1
Hải Phòng,Đồng Bằng Sông Hồng,Vietnam,2024-12-27,20.5,9.0,1.5,62,5.0,1
Hậu Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,30.3,10.1,6.9,84,7.0,1
TP. Hồ Chí Minh,Đông Nam Bộ,Vietnam,2024-12-27,32.2,7.7,17.3,73,7.0,1
Hòa Bình,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,21.5,7.9,0.4,61,5.0,1
Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,2024-12-27,20.5,12.2,1.3,67,5.0,1
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,24.9,15.0,43.2,94,5.0,1
Kiên Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,29.5,15.1,11.9,82,6.0,1
Kon Tum,Tây Nguyên,Vietnam,2024-12-27,24.8,21.1,0.0,85,5.0,0
Lai Châu,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,16.4,6.1,1.5,81,4.0,1
Lâm Đồng,Tây Nguyên,Vietnam,2024-12-27,21.5,16.3,5.0,96,5.0,1
Lạng Sơn,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,17.5,15.8,1.5,47,4.0,1
Lào Cai,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,19.1,6.1,0.0,73,4.0,0
Long An,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,32.4,9.1,20.9,78,7.0,1
Nam Định,Đồng Bằng Sông Hồng,Vietnam,2024-12-27,20.5,12.2,1.3,67,5.0,1
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,19.3,16.9,3.8,90,4.0,1
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-12-27,20.5,12.2,1.3,67,5.0,1
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,26.4,27.7,23.2,91,6.0,1
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-12-27,22.4,13.3,0.4,48,5.0,1
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,24.6,22.8,40.01,97,5.0,1
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,20.2,28.4,13.6,92,5.0,1
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,21.9,17.3,38.84,95,5.0,1
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,23.8,17.2,49.27,98,5.0,1
Quảng Ninh,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,18.1,16.2,4.2,67,4.0,1
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,21.4,11.2,31.1,98,5.0,1
Sóc Trăng,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,29.8,22.7,0.4,81,6.0,1
Sơn La,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,23.4,6.1,0.0,77,5.0,0
Tây Ninh,Đông Nam Bộ,Vietnam,2024-12-27,32.8,12.2,7.4,70,7.0,1
Thái Bình,Đồng Bằng Sông Hồng,Vietnam,2024-12-27,19.7,13.0,1.7,70,4.0,1
Thái Nguyên,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,20.8,12.6,0.0,45,5.0,0
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,20.2,10.4,0.3,80,5.0,1
Thừa Thiên - Huế,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-27,21.4,11.2,31.1,98,5.0,1
Tiền Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,32.9,10.1,4.8,80,7.0,1
Trà Vinh,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,30.3,15.5,1.92,82,7.0,1
Tuyên Quang,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,22.4,13.3,0.4,48,5.0,1
Vĩnh Long,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-27,31.3,9.7,6.3,82,7.0,1
Vĩnh Phúc,Đồng Bằng Sông Hồng,Vietnam,2024-12-27,22.4,13.3,0.4,48,5.0,1
Yên Bái,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-27,22.4,13.3,0.4,48,5.0,1
An Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,32.0,20.5,4.1,76,7.0,1
Bà Rịa-Vũng Tàu,Đông Nam Bộ,Vietnam,2024-12-28,27.5,23.0,1.5,82,6.0,1
Bắc Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,22.4,21.2,0.0,45,6.0,0
Bắc Kạn,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,20.2,11.7,0.0,56,5.0,0
Bạc Liêu,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,30.2,25.2,0.2,80,7.0,1
Bắc Ninh,Đồng Bằng Sông Hồng,Vietnam,2024-12-28,22.4,21.2,0.0,45,6.0,0
Bến Tre,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,30.5,7.6,3.8,86,7.0,1
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,23.4,28.4,39.11,95,5.0,1
Bình Dương,Đông Nam Bộ,Vietnam,2024-12-28,31.5,9.4,8.8,78,7.0,1
Bình Phước,Đông Nam Bộ,Vietnam,2024-12-28,30.0,6.8,6.5,86,7.0,1
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,29.1,23.1,0.2,83,6.0,1
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,30.4,19.8,1.5,81,7.0,1
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,29.8,11.2,3.5,84,6.0,1
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,19.8,9.7,0.0,52,4.0,0
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,21.6,24.1,33.92,92,5.0,1
Đắk Lắk,Tây Nguyên,Vietnam,2024-12-28,24.4,20.9,0.7,87,5.0,1
Đắk Nông,Tây Nguyên,Vietnam,2024-12-28,24.4,20.9,0.7,87,5.0,1
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,22.0,8.8,0.0,74,5.0,0
Đồng Nai,Đông Nam Bộ,Vietnam,2024-12-28,31.5,9.4,8.8,78,7.0,1
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,30.5,11.9,21.4,82,7.0,1
Gia Lai,Tây Nguyên,Vietnam,2024-12-28,23.2,23.6,0.0,81,5.0,0
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,11.0,8.6,1.0,85,3.0,1
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-12-28,20.5,16.9,1.3,49,5.0,1
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-12-28,22.6,20.2,0.0,43,5.0,0
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,18.1,20.5,8.9,84,4.0,1
Hải Dương,Đồng Bằng Sông Hồng,Vietnam,2024-12-28,21.5,11.5,0.6,48,5.0,1
Hải Phòng,Đồng Bằng Sông Hồng,Vietnam,2024-12-28,21.5,10.4,0.2,48,5.0,1
Hậu Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,29.8,11.2,3.5,84,6.0,1
TP. Hồ Chí Minh,Đông Nam Bộ,Vietnam,2024-12-28,31.5,9.4,8.8,78,7.0,1
Hòa Bình,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,19.3,7.9,0.2,51,4.0,1
Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,2024-12-28,20.5,16.9,1.3,49,5.0,1
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,25.0,24.6,30.12,94,6.0,1
Kiên Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,29.3,16.9,21.6,83,6.0,1
Kon Tum,Tây Nguyên,Vietnam,2024-12-28,23.2,23.6,0.0,81,5.0,0
Lai Châu,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,13.7,5.4,2.8,82,3.0,1
Lâm Đồng,Tây Nguyên,Vietnam,2024-12-28,19.5,19.6,1.3,99,4.0,1
Lạng Sơn,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,20.2,21.1,0.3,49,6.0,1
Lào Cai,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,16.8,4.7,1.3,73,4.0,1
Long An,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,30.3,8.3,9.79,84,7.0,1
Nam Định,Đồng Bằng Sông Hồng,Vietnam,2024-12-28,20.5,16.9,1.3,49,5.0,1
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,18.1,18.4,5.1,78,4.0,1
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-12-28,20.5,16.9,1.3,49,5.0,1
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,25.1,38.5,27.85,93,6.0,1
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-12-28,23.0,9.0,0.4,46,6.0,1
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,23.4,28.4,39.11,95,5.0,1
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,19.4,34.2,11.1,88,4.0,1
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,21.6,24.1,33.92,92,5.0,1
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,22.3,22.1,41.88,94,5.0,1
Quảng Ninh,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,19.0,14.8,0.1,54,4.0,1
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,20.7,15.1,59.2,95,5.0,1
Sóc Trăng,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,30.2,25.2,0.2,80,7.0,1
Sơn La,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,22.0,8.8,0.0,74,5.0,0
Tây Ninh,Đông Nam Bộ,Vietnam,2024-12-28,32.0,22.3,6.9,70,7.0,1
Thái Bình,Đồng Bằng Sông Hồng,Vietnam,2024-12-28,20.2,14.8,1.0,50,5.0,1
Thái Nguyên,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,21.9,10.8,0.0,47,6.0,0
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,19.9,16.6,1.7,56,4.0,1
Thừa Thiên - Huế,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-28,20.7,15.1,59.2,95,5.0,1
Tiền Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,30.5,7.6,3.8,86,7.0,1
Trà Vinh,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,30.5,17.6,0.8,82,7.0,1
Tuyên Quang,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,23.0,9.0,0.4,46,6.0,1
Vĩnh Long,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-28,30.2,9.7,8.92,84,7.0,1
Vĩnh Phúc,Đồng Bằng Sông Hồng,Vietnam,2024-12-28,23.0,9.0,0.4,46,6.0,1
Yên Bái,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-28,23.0,9.0,0.4,46,6.0,1
An Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-29,31.1,21.6,0.0,67,7.0,0
Bà Rịa-Vũng Tàu,Đông Nam Bộ,Vietnam,2024-12-29,26.4,19.8,0.1,81,6.0,1
Bắc Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,23.6,22.7,0.0,54,6.0,0
Bắc Kạn,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,19.3,8.3,0.0,56,5.0,0
Bạc Liêu,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-29,29.5,14.1,1.2,80,6.0,1
Bắc Ninh,Đồng Bằng Sông Hồng,Vietnam,2024-12-29,23.6,22.7,0.0,54,6.0,0
Bến Tre,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-29,30.4,9.4,0.0,80,7.0,0
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,23.7,28.3,3.8,89,5.0,1
Bình Dương,Đông Nam Bộ,Vietnam,2024-12-29,31.2,11.9,0.0,73,7.0,0
Bình Phước,Đông Nam Bộ,Vietnam,2024-12-29,30.6,8.3,0.1,83,7.0,1
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,29.5,16.6,0.0,78,6.0,0
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-29,30.2,17.3,1.0,76,7.0,1
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-29,29.9,15.1,0.2,79,6.0,1
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,19.1,12.6,0.0,53,5.0,0
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,22.3,15.1,3.0,85,5.0,1
Đắk Lắk,Tây Nguyên,Vietnam,2024-12-29,25.7,20.6,0.0,79,6.0,0
Đắk Nông,Tây Nguyên,Vietnam,2024-12-29,25.7,20.6,0.0,79,6.0,0
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,22.9,5.8,0.0,73,5.0,0
Đồng Nai,Đông Nam Bộ,Vietnam,2024-12-29,31.2,11.9,0.0,73,7.0,0
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-29,30.2,18.0,0.0,76,7.0,0
Gia Lai,Tây Nguyên,Vietnam,2024-12-29,23.3,19.7,0.0,77,5.0,0
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,14.6,18.0,0.0,86,3.0,0
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-12-29,22.6,17.6,0.0,59,5.0,0
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-12-29,24.1,19.1,0.0,57,6.0,0
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,20.4,11.5,0.1,73,5.0,1
Hải Dương,Đồng Bằng Sông Hồng,Vietnam,2024-12-29,21.9,18.4,0.0,59,6.0,0
Hải Phòng,Đồng Bằng Sông Hồng,Vietnam,2024-12-29,21.7,17.3,0.0,59,6.0,0
Hậu Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-29,29.9,15.1,0.2,79,6.0,1
TP. Hồ Chí Minh,Đông Nam Bộ,Vietnam,2024-12-29,31.2,11.9,0.0,73,7.0,0
Hòa Bình,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,21.3,11.9,0.0,60,6.0,0
Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,2024-12-29,22.6,17.6,0.0,59,5.0,0
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,25.8,25.5,0.3,84,6.0,1
Kiên Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-29,29.1,21.6,0.2,77,6.0,1
Kon Tum,Tây Nguyên,Vietnam,2024-12-29,23.3,19.7,0.0,77,5.0,0
Lai Châu,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,18.2,4.0,0.1,78,4.0,1
Lâm Đồng,Tây Nguyên,Vietnam,2024-12-29,21.9,19.1,0.0,85,5.0,0
Lạng Sơn,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,20.7,13.3,0.0,53,6.0,0
Lào Cai,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,18.6,6.8,0.0,70,4.0,0
Long An,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-29,30.3,10.4,0.0,78,7.0,0
Nam Định,Đồng Bằng Sông Hồng,Vietnam,2024-12-29,22.6,17.6,0.0,59,5.0,0
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,20.7,10.1,0.0,69,6.0,0
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-12-29,22.6,17.6,0.0,59,5.0,0
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,25.4,40.0,0.3,84,6.0,1
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-12-29,23.4,15.1,0.0,58,6.0,0
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,23.7,28.3,3.8,89,5.0,1
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,19.7,18.0,7.0,84,4.0,1
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,22.3,15.1,3.0,85,5.0,1
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,22.0,13.1,4.1,92,5.0,1
Quảng Ninh,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,19.3,16.6,0.0,62,5.0,0
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,22.3,9.5,2.3,93,5.0,1
Sóc Trăng,Đồng Bằng Sông Cửu Long,Vietnam,2024-12-29,29.5,14.1,1.2,80,6.0,1
Sơn La,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,22.9,5.8,0.0,73,5.0,0
Tây Ninh,Đông Nam Bộ,Vietnam,2024-12-29,32.4,21.2,0.0,59,8.0,0
Thái Bình,Đồng Bằng Sông Hồng,Vietnam,2024-12-29,21.7,19.1,0.0,58,5.0,0
Thái Nguyên,Trung du và miền núi Bắc Bộ,Vietnam,2024-12-29,21.7,14.0,0.0,57,6.0,0
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-12-29,22.5,13.3,0.0,63,6.0,0
